name,age,number of not paid past credits,dependents,monthly income,monthly expenditure,savings (debt),debt-to-income ratio before credit,credit: monthly amount,credit-to-income ratio,requested_loan_duration,debt-to-income ratio after credit,collateral,estimated seizable assets,y-categorical-default,educational level_bachelor degree,educational level_high school or lower,educational level_post graduate degree,profession_LowSkilled,profession_MediumSkilled,profession_Unemployed_HighSkilled,profession_Unemployed_LowSkilled,profession_Unemployed_MediumSkilled,working sector_Artist,working sector_Cleaning Services,working sector_Construction,working sector_Consultant,working sector_Doctor,working sector_Electrician,working sector_Engineering,working sector_Finance,working sector_IT Support,working sector_Manufacturing,working sector_Nursing,working sector_Research,working sector_Teacher,working sector_Transportation,type of credit_mortgages,type of credit_simple loans,collateral type_house,collateral type_liquid assets,collateral type_none
name0,52,0,1,8415,7792.574032941742,622.4259670582578,0.0,4519.89702738468,0.7314434889358047,24,0.463157582926491,14141,35291.24966714199,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False
name1,43,1,1,837,768.7681326523991,68.23186734760088,0.0,200.02274623687154,0.5961671538134224,48,0.15745624717953483,0,1330.1717272721764,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True
name2,47,0,0,10131,7298.222833025086,2832.7771669749136,0.0,3538.961085108445,0.9357481637592712,36,0.06970525299906537,59918,70541.42466546036,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
name3,53,0,0,4465,5570.418139823272,-1105.4181398232722,0.24757405147217743,1598.4026171392698,0.7477681623439256,12,0.6055589601259892,19401,22507.237450424647,1,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False
name4,51,2,0,4068,2394.885811919684,1673.1141880803161,0.0,1815.950417583372,0.47709372322740734,24,0.03511215081196063,0,8399.04658173379,1,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
name5,36,0,0,1901,2429.376458586631,-528.3764585866311,0.2779465852638775,1676.8776138389615,0.9117641187839042,24,1.1600494857578076,79989,87142.10802919407,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False
name6,63,1,0,20000,12223.283419578029,7776.716580421971,0.0,16442.800326344786,0.23260023224434367,12,0.43330418729614073,31172,84052.80041468175,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
name7,64,1,4,9916,10645.673187275708,-729.6731872757082,0.07358543639327432,6437.678780404071,0.8462403482163618,60,0.7228067736667789,15375,39130.35765280445,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False
name8,32,1,0,827,826.0237110320741,0.9762889679259388,0.0,572.0266073792285,0.41722365379595516,12,0.6905082447536911,16988,21390.331122728694,1,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
name9,38,0,0,2236,2035.445489262062,200.55451073793802,0.0,2188.680990828648,0.6201930823485872,36,0.889144221865255,45334,49640.635865168544,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
name10,44,0,0,3213,2082.91534883256,1130.08465116744,0.0,2879.040497542405,0.7587077081501561,24,0.5443373315826221,49438,48288.02900702777,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
name11,47,1,1,5223,3027.5361902527497,2195.4638097472503,0.0,3671.2151173271013,0.7424882207842083,48,0.28254859421402473,13405,24498.713651876984,0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False
name12,59,0,0,19684,12022.041866273172,7661.958133726828,0.0,16920.109067295773,0.22522919188319765,12,0.470338901319292,17738,86304.1962634168,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
name13,35,1,0,899,1064.4151970500025,-165.41519705000246,0.18399910684093712,200.49066518521565,0.8572233165125234,12,0.4070143072694306,30279,32847.21533330311,1,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
name14,52,1,0,8386,4206.433577776903,4179.566422223097,0.0,3213.4367672882872,0.9312018963647091,24,0.0,47941,82863.90539669637,0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
name15,32,0,1,1200,1104.1106810088386,95.88931899116142,0.0,566.477750603403,0.5133308359257325,24,0.39215702634353466,36059,37951.00633347313,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
name16,55,0,1,18708,25360.30469812123,-6652.304698121228,0.35558609675653347,7386.951617121579,0.3159558327649861,48,0.750441325381805,68900,109192.41527925634,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
name17,35,0,0,2006,1468.8636191916028,537.1363808083972,0.0,1607.512231400272,0.4574948661063772,24,0.5335871638045238,64100,74766.90329792611,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
name18,36,0,2,1076,744.4068865152426,331.5931134847574,0.0,467.53466107044125,0.6764779057242345,24,0.12633972823948314,11697,13670.451985690845,1,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
name19,64,0,0,10000,7948.633893033223,2051.366106966777,0.0,5788.6039679813075,0.5644767170496534,24,0.37372378610145307,0,22610.515162307016,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
name20,53,2,0,17697,15848.38499024142,1848.6150097585796,0.0,17638.675690227716,0.25290171314129906,48,0.892245051730188,45750,83150.51581772801,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
name21,33,1,1,864,704.1271062441929,159.87289375580713,0.0,534.7195588893048,0.36309042429889826,24,0.4338503068674742,39477,41253.3648872699,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
name22,36,0,0,1085,510.1072905570655,574.8927094429346,0.0,522.3787895317759,0.7034168659387751,48,0.0,0,2305.5563524685967,0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
name23,31,1,1,1007,826.6703580910821,180.3296419089179,0.0,288.72479506253836,0.8994114187948465,12,0.10764166152295976,0,1723.6890686077338,0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
name24,37,1,0,1075,557.5450480752212,517.4549519247788,0.0,349.9578105059261,0.842517745554071,36,0.0,12860,16216.566263421568,1,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
name25,37,0,0,1111,734.5158418664429,376.4841581335571,0.0,667.5147171134503,0.8849233004668238,12,0.26195369845174904,6638,10215.859092906972,1,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
name26,47,0,1,9993,7462.465876856902,2530.5341231430984,0.0,8987.09974174386,0.9574543074769013,24,0.6461088380467088,62901,81273.39219809134,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False
name27,64,1,0,4967,4755.229444648804,211.77055535119598,0.0,2625.4834963644143,0.41700882853257176,24,0.4859498572605634,25443,30702.611865075673,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
name28,31,1,1,1038,987.0469405174559,50.95305948254406,0.0,970.2708658063766,0.6578838934808142,24,0.8856626265162163,11892,11673.752812293003,0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False
name29,56,0,1,9559,6408.932771245738,3150.067228754262,0.0,3443.422250493803,0.3457328823364167,24,0.03068888186416371,0,26336.298914723342,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True
name30,44,0,1,5855,4854.361527908874,1000.6384720911255,0.0,2733.999261946414,0.4163987751154974,12,0.2960479572767359,21666,42414.23962214513,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
name31,32,0,0,1687,1229.629598436937,457.37040156306307,0.0,887.6631459656501,0.2618810602225665,36,0.2550638674585578,28764,34738.26322178289,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
name32,48,0,0,11622,6632.015499807128,4989.984500192872,0.0,6201.71933276804,0.609263473079895,24,0.10426216077914027,20441,45996.0670661477,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
